iter	RMSE
0	0.57979301
1	0.5668106182
2	0.5541733423
3	0.5420084135
4	0.5301204191
5	0.5185790211
6	0.5075190371
7	0.4965162503
8	0.4860324599
9	0.4759239245
10	0.4660005466
11	0.4562770555
12	0.4469089642
13	0.4378574375
14	0.4290513764
15	0.4205447035
16	0.4123803131
17	0.4044904318
18	0.3966962516
19	0.3892793192
20	0.381883034
21	0.3748459195
22	0.3680527637
23	0.3613677266
24	0.3549938542
25	0.3487664564
26	0.3427252326
27	0.3370478371
28	0.3314420013
29	0.3261144252
30	0.320769935
31	0.3157467584
32	0.3108557155
33	0.3060413405
34	0.3014542893
35	0.2970428238
36	0.2926512472
37	0.2885839384
38	0.284546509
39	0.2805037737
40	0.2766607396
41	0.2729418521
42	0.2693446425
43	0.2658536252
44	0.2625042713
45	0.2592505465
46	0.2561207832
47	0.253124481
48	0.250324227
49	0.2475504443
50	0.2448005494
51	0.2423108096
52	0.239857913
53	0.2374130838
54	0.2350277651
55	0.2328257163
56	0.2306644854
57	0.2285627605
58	0.2265246793
59	0.2245864612
60	0.2227257126
61	0.2208379093
62	0.2190026313
63	0.2173055146
64	0.21566666
65	0.2140640669
66	0.2125766187
67	0.2111820546
68	0.2096608036
69	0.2082583459
70	0.2068582002
71	0.2055407072
72	0.2042506288
73	0.203073829
74	0.2019124573
75	0.2008143649
76	0.1996992445
77	0.1986254806
78	0.1975696406
79	0.1965982907
80	0.1955837508
81	0.194666691
82	0.1937169778
83	0.1928271958
84	0.1919983923
85	0.1911872146
86	0.1903658642
87	0.189585239
88	0.1888402415
89	0.1880971104
90	0.1873981936
91	0.1867386303
92	0.1860253731
93	0.1853347617
94	0.1847183132
95	0.1840809617
96	0.183531266
97	0.1829353275
98	0.1823556912
99	0.1817811323
100	0.1812039119
101	0.1807324981
102	0.1802561483
103	0.1798212358
104	0.17937672
105	0.1787134008
106	0.1781236619
107	0.1775582482
108	0.1770056685
109	0.1764592002
110	0.1759019919
111	0.1753953154
112	0.1749376089
113	0.1744553563
114	0.1740225257
115	0.1735810976
116	0.1731322901
117	0.1726893104
118	0.1722729068
119	0.1719094863
120	0.171538702
121	0.171176118
122	0.1708379872
123	0.170516849
124	0.1701859757
125	0.1698871208
126	0.1695920545
127	0.1692555672
128	0.1689605955
129	0.1686542499
130	0.168357445
131	0.1680684866
132	0.1678018735
133	0.1675355232
134	0.1672571823
135	0.1668978551
136	0.1666148267
137	0.166397721
138	0.1661841937
139	0.1659627163
140	0.1657488799
141	0.1655219327
142	0.1652803798
143	0.165082421
144	0.164858159
145	0.1646066353
146	0.164277032
147	0.1640690655
148	0.1638857395
149	0.1636971012
150	0.1634971665
151	0.1631809371
152	0.1629959878
153	0.1628058933
154	0.1625992989
155	0.1624323336
156	0.1622526485
157	0.1620244951
158	0.1618603695
159	0.1617021175
160	0.161525817
161	0.1613045109
162	0.1611279779
163	0.1609654566
164	0.160802449
165	0.1606707983
166	0.1605455853
167	0.1604170629
168	0.1602276394
169	0.160084716
170	0.1599515307
171	0.1597375397
172	0.1596268846
173	0.1594815754
174	0.1593558704
175	0.1592417496
176	0.1591060081
177	0.159004903
178	0.1588883211
179	0.1587910326
180	0.1586382794
181	0.1584814389
182	0.1583825667
183	0.1582707004
184	0.1581324255
185	0.1580192946
186	0.1578699963
187	0.1577046061
188	0.1575921426
189	0.1574437768
190	0.1573406054
191	0.1572371637
192	0.1571318484
193	0.1569831694
194	0.156838874
195	0.1567107662
196	0.1565933068
197	0.1565068097
198	0.1563932319
199	0.156310467
200	0.156224708
201	0.1561102671
202	0.156008467
203	0.1559229755
204	0.1557953356
205	0.1556662538
206	0.155553344
207	0.1554475107
208	0.1552852199
209	0.1551521957
210	0.1550797966
211	0.1549905276
212	0.1548455906
213	0.154772122
214	0.1546761766
215	0.1545687582
216	0.1544416574
217	0.1542902564
218	0.1541972056
219	0.1540622427
220	0.1539663898
221	0.1538704043
222	0.1537644397
223	0.1536303693
224	0.1535034957
225	0.1533556502
226	0.1532772222
227	0.1532012057
228	0.1531141171
229	0.1530258212
230	0.1529113967
231	0.1528423927
232	0.1527383625
233	0.1526449705
234	0.1525656411
235	0.1524828467
236	0.1523781845
237	0.1522678859
238	0.1521758464
239	0.1520865666
240	0.1519940575
241	0.1519026445
242	0.1518187021
243	0.1517662099
244	0.1516619962
245	0.1515579583
246	0.1514736925
247	0.1513981522
248	0.151321812
249	0.1512136595
250	0.1510962802
251	0.1509525946
252	0.150885431
253	0.1507744046
254	0.1506988906
255	0.1506042976
256	0.1505136105
257	0.1504186302
258	0.150370914
259	0.1502503357
260	0.1501820069
261	0.1501313496
262	0.1500446583
263	0.1499560494
264	0.1498805902
265	0.1498057649
266	0.1496678655
267	0.1496040459
268	0.1494956441
269	0.1494143884
270	0.1493300722
271	0.1492146525
272	0.1490836789
273	0.1490086006
274	0.1489337677
275	0.1488856317
276	0.1488118215
277	0.1487485084
278	0.1486778472
279	0.148601398
280	0.1485286721
281	0.1484451927
282	0.14839098
283	0.1482625111
284	0.1481957274
285	0.1481143293
286	0.1480433156
287	0.1479825246
288	0.1478924847
289	0.1478247427
290	0.1477405232
291	0.147678718
292	0.1475663658
293	0.1475048527
294	0.1474193944
295	0.1473614399
296	0.1473149899
297	0.1472717516
298	0.1471686926
299	0.1471212511
300	0.1470543804
301	0.1469824977
302	0.1469244411
303	0.1468738005
304	0.1468240354
305	0.1467643798
306	0.1466908825
307	0.1466650438
308	0.1465989655
309	0.1465524485
310	0.1464781969
311	0.1464228813
312	0.1463880369
313	0.1463416023
314	0.1462768267
315	0.1462642587
316	0.146159521
317	0.1460822441
318	0.1459968967
319	0.1459459872
320	0.1458989921
321	0.1458205381
322	0.1457370195
323	0.1456780496
324	0.1456417347
325	0.1456153846
326	0.1455626962
327	0.1454877285
328	0.1454343044
329	0.1453821884
330	0.1453437503
331	0.1452813256
332	0.1452340701
333	0.1451577164
334	0.145094597
335	0.1450393958
336	0.144978111
337	0.1449022864
338	0.1448340712
339	0.1447561516
340	0.1446821434
341	0.1446256903
342	0.14452362
343	0.1444688556
344	0.1443692518
345	0.1443037905
346	0.1442439622
347	0.1442081359
348	0.1441264177
349	0.1440763502
350	0.1440277971
351	0.1439952932
352	0.1439451893
353	0.1439058578
354	0.1438689064
355	0.143821925
356	0.1437700098
357	0.143695604
358	0.1436519787
359	0.143605479
360	0.1435490345
361	0.1435018767
362	0.1434200903
363	0.1433439873
364	0.1433036059
365	0.1432371087
366	0.1431878987
367	0.143142479
368	0.1430742696
369	0.1430423828
370	0.1429587329
371	0.1429299369
372	0.1429015683
373	0.1428772889
374	0.1428470406
375	0.1428017793
376	0.1427357317
377	0.1426858545
378	0.1426263831
379	0.1425688948
380	0.142498943
381	0.142451784
382	0.1423988905
383	0.142357136
384	0.1423075332
385	0.1422686438
386	0.1422194097
387	0.1421493543
388	0.1421117054
389	0.1420744075
390	0.1420542378
391	0.142013454
392	0.1419686231
393	0.1419146846
394	0.1418625523
395	0.1418362181
396	0.1417730352
397	0.141733991
398	0.141686051
399	0.1416115601
400	0.1415846439
401	0.1415600089
402	0.1415576367
403	0.1415098131
404	0.1414531115
405	0.1414111622
406	0.1413691026
407	0.1413172963
408	0.1413152613
409	0.1412518583
410	0.1411719212
411	0.1411360939
412	0.1411344548
413	0.1410941896
414	0.1410235446
415	0.1409739111
416	0.1409053488
417	0.1409024967
418	0.1408155645
419	0.1407791762
420	0.1407453305
421	0.1407436655
422	0.140696862
423	0.1406824316
424	0.1406465373
425	0.1406452141
426	0.1406109829
427	0.1405683979
428	0.1405495838
429	0.1405254215
430	0.1404830867
431	0.1404407348
432	0.1403999115
433	0.1403494668
434	0.1403100203
435	0.140264342
436	0.1401884843
437	0.1401867168
438	0.1401194418
439	0.140096996
440	0.1400645184
441	0.1400305882
442	0.1400125795
443	0.1400108801
444	0.1400094423
445	0.1399924739
446	0.1399126975
447	0.1399113688
448	0.13987383
449	0.1398380095
450	0.1397893872
451	0.139737836
452	0.1396713162
453	0.1396207638
454	0.1395716926
455	0.139540636
456	0.1395106169
457	0.1394835529
458	0.1394510809
459	0.1394164315
460	0.1393520513
461	0.139301658
462	0.1393003129
463	0.1392640117
464	0.1392358613
465	0.1391943929
466	0.1391929121
467	0.1391518225
468	0.1391103031
469	0.139070102
470	0.1390289826
471	0.139027488
472	0.1389996176
473	0.1389507479
