iter	Passed	Remaining
0	102	102588
1	180	90274
2	241	80278
3	302	75239
4	381	76013
5	444	73631
6	517	73352
7	579	71851
8	633	69807
9	691	68498
10	754	67844
11	829	68291
12	917	69631
13	993	69976
14	1081	71049
15	1128	69375
16	1226	70892
17	1364	74417
18	1461	75463
19	1560	76442
20	1687	78677
21	1765	78481
22	1849	78574
23	1876	76329
24	1911	74535
25	1939	72665
26	1959	70619
27	1980	68735
28	2001	67002
29	2025	65488
30	2044	63894
31	2063	62424
32	2087	61160
33	2111	60003
34	2131	58779
35	2155	57708
36	2174	56584
37	2192	55502
38	2213	54549
39	2230	53531
40	2248	52598
41	2272	51827
42	2295	51079
43	2326	50550
44	2368	50262
45	2393	49647
46	2434	49368
47	2455	48694
48	2473	48008
49	2494	47390
50	2523	46964
51	2549	46474
52	2566	45854
53	2585	45292
54	2631	45212
55	2672	45058
56	2695	44595
57	2716	44121
58	2733	43592
59	2749	43079
60	2780	42795
61	2803	42407
62	2822	41978
63	2840	41546
64	2854	41066
65	2875	40696
66	2895	40315
67	2917	39988
68	2934	39599
69	2954	39252
70	2973	38902
71	2990	38545
72	3013	38269
73	3030	37916
74	3051	37629
75	3074	37377
76	3096	37114
77	3122	36912
78	3143	36642
79	3160	36343
80	3181	36093
81	3207	35910
82	3227	35656
83	3247	35416
84	3266	35164
85	3283	34892
86	3304	34674
87	3318	34394
88	3335	34144
89	3355	33923
90	3371	33674
91	3391	33471
92	3413	33288
93	3436	33125
94	3454	32905
95	3473	32709
96	3497	32559
97	3519	32390
98	3535	32180
99	3556	32011
100	3579	31864
101	3599	31691
102	3623	31556
103	3644	31394
104	3667	31261
105	3687	31097
106	3705	30924
107	3728	30790
108	3747	30630
109	3765	30469
110	3783	30304
111	3801	30139
112	3826	30034
113	3844	29880
114	3862	29722
115	3882	29584
116	3901	29445
117	3926	29347
118	3946	29217
119	3963	29068
120	3983	28939
121	4002	28807
122	4027	28714
123	4044	28570
124	4063	28445
125	4080	28304
126	4100	28188
127	4120	28068
128	4141	27964
129	4159	27835
130	4178	27721
131	4196	27592
132	4214	27470
133	4234	27369
134	4252	27245
135	4270	27130
136	4291	27031
137	4308	26913
138	4329	26817
139	4345	26693
140	4364	26590
141	4381	26476
142	4403	26389
143	4422	26288
144	4445	26211
145	4465	26118
146	4487	26037
147	4507	25949
148	4528	25864
149	4549	25778
150	4565	25669
151	4586	25587
152	4603	25487
153	4626	25417
154	4645	25327
155	4663	25228
156	4679	25127
157	4700	25048
158	4718	24959
159	4739	24883
160	4758	24796
161	4778	24717
162	4801	24655
163	4825	24598
164	4845	24523
165	4864	24438
166	4885	24369
167	4909	24311
168	4935	24270
169	4956	24201
170	4977	24129
171	4999	24065
172	5015	23975
173	5034	23899
174	5051	23811
175	5069	23733
176	5088	23657
177	5106	23583
178	5126	23515
179	5146	23447
180	5163	23365
181	5181	23287
182	5200	23218
183	5219	23146
184	5243	23099
185	5262	23030
186	5281	22961
187	5298	22886
188	5320	22828
189	5344	22783
190	5363	22716
191	5384	22658
192	5400	22581
193	5418	22511
194	5440	22457
195	5459	22395
196	5478	22330
197	5498	22271
198	5517	22210
199	5538	22153
200	5560	22102
201	5577	22032
202	5594	21962
203	5617	21918
204	5647	21899
205	5674	21872
206	5694	21816
207	5714	21758
208	5737	21716
209	5758	21662
210	5776	21601
211	5794	21537
212	5813	21479
213	5835	21433
214	5853	21371
215	5873	21317
216	5891	21259
217	5907	21190
218	5926	21133
219	5947	21086
220	5965	21026
221	5983	20970
222	6002	20912
223	6023	20867
224	6044	20819
225	6065	20774
226	6084	20719
227	6101	20659
228	6118	20599
229	6134	20538
230	6158	20502
231	6177	20450
232	6196	20397
233	6215	20346
234	6241	20316
235	6259	20263
236	6279	20216
237	6298	20166
238	6315	20109
239	6336	20065
240	6358	20024
241	6378	19978
242	6397	19929
243	6416	19881
244	6437	19838
245	6456	19790
246	6476	19744
247	6495	19696
248	6516	19655
249	6536	19609
250	6558	19571
251	6577	19523
252	6593	19467
253	6612	19420
254	6629	19368
255	6651	19329
256	6672	19290
257	6693	19249
258	6726	19245
259	6747	19205
260	6765	19154
261	6785	19111
262	6806	19074
263	6824	19025
264	6849	18998
265	6868	18952
266	6887	18907
267	6906	18862
268	6924	18816
269	6948	18785
270	6965	18737
271	6987	18701
272	7007	18661
273	7034	18638
274	7059	18611
275	7084	18584
276	7104	18543
277	7123	18501
278	7142	18457
279	7163	18421
280	7182	18377
281	7202	18338
282	7219	18291
283	7237	18246
284	7258	18210
285	7277	18168
286	7294	18123
287	7312	18079
288	7331	18037
289	7353	18002
290	7372	17963
291	7390	17918
292	7411	17882
293	7429	17839
294	7451	17807
295	7471	17770
296	7496	17744
297	7516	17707
298	7536	17669
299	7560	17640
300	7579	17601
301	7596	17558
302	7618	17524
303	7635	17482
304	7658	17450
305	7672	17401
306	7693	17367
307	7713	17331
308	7732	17290
309	7751	17253
310	7771	17217
311	7795	17189
312	7812	17148
313	7831	17109
314	7857	17087
315	7877	17052
